,anger,fear,joy,sadness,analytical,confident,tentative
0,0.0,0.505116,0.0,0.0,0.504631,0.0,0.825165
1,0.0,0.0,0.522368,0.0,0.0,0.541052,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.980717
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.52287,0.631061,0.685489,0.0,0.79961
5,0.0,0.0,0.628199,0.0,0.0,0.0,0.885229
6,0.0,0.0,0.0,0.0,0.0,0.0,0.877926
7,0.0,0.709686,0.0,0.0,0.0,0.0,0.730029
8,0.0,0.0,0.593435,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.905191
10,0.0,0.0,0.584601,0.0,0.0,0.0,0.550755
11,0.0,0.0,0.780786,0.0,0.0,0.0,0.723948
12,0.0,0.554612,0.604357,0.0,0.0,0.804653,0.0
13,0.0,0.0,0.598769,0.0,0.0,0.0,0.594536
14,0.0,0.0,0.537059,0.0,0.0,0.0,0.0
15,0.0,0.0,0.553833,0.674589,0.0,0.0,0.739689
16,0.0,0.0,0.0,0.668243,0.0,0.0,0.755899
17,0.0,0.0,0.924102,0.0,0.0,0.561617,0.0
18,0.0,0.0,0.779978,0.0,0.0,0.0,0.660659
19,0.0,0.0,0.0,0.0,0.0,0.0,0.724455
20,0.0,0.0,0.523838,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0,0.0,0.0,0.980717
22,0.0,0.0,0.0,0.0,0.847466,0.0,0.654039
23,0.663101,0.0,0.0,0.0,0.0,0.0,0.794832
24,0.0,0.0,0.785929,0.0,0.0,0.0,0.855046
25,0.0,0.0,0.0,0.0,0.0,0.0,0.579278
26,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,0.0,0.0,0.0,0.790888,0.0,0.0,0.0
29,0.0,0.0,0.794312,0.0,0.0,0.0,0.926055
30,0.525409,0.0,0.633368,0.516568,0.0,0.0,0.710664
31,0.0,0.0,0.0,0.0,0.0,0.889008,0.0
32,0.531088,0.0,0.0,0.0,0.0,0.0,0.640032
33,0.0,0.0,0.0,0.0,0.0,0.0,0.785252
34,0.0,0.0,0.668864,0.61355,0.0,0.0,0.0
35,0.0,0.0,0.833144,0.0,0.0,0.0,0.0
36,0.0,0.0,0.0,0.649841,0.0,0.721986,0.0
37,0.0,0.0,0.638468,0.0,0.0,0.507373,0.0
38,0.0,0.0,0.677506,0.0,0.0,0.0,0.578397
39,0.0,0.0,0.65577,0.0,0.0,0.0,0.603267
40,0.0,0.0,0.0,0.0,0.826937,0.619903,0.0
41,0.0,0.0,0.0,0.55544,0.578033,0.0,0.0
42,0.0,0.0,0.620184,0.0,0.0,0.0,0.0
43,0.0,0.0,0.556709,0.0,0.0,0.60167,0.0
44,0.0,0.0,0.558527,0.0,0.0,0.784724,0.0
45,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,0.0,0.0,0.0,0.509713,0.0,0.0,0.880416
48,0.0,0.0,0.675779,0.0,0.0,0.0,0.855601
49,0.0,0.0,0.745425,0.0,0.0,0.603487,0.0
50,0.0,0.0,0.647307,0.0,0.0,0.88831,0.0
51,0.0,0.0,0.0,0.0,0.552831,0.0,0.655183
52,0.0,0.0,0.0,0.0,0.618178,0.0,0.538459
53,0.0,0.0,0.833119,0.0,0.0,0.0,0.846076
54,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,0.0,0.0,0.0,0.586662,0.0,0.0,0.805132
56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,0.0,0.0,0.0,0.526307,0.0,0.0,0.0
58,0.0,0.0,0.67738,0.0,0.0,0.0,0.821473
59,0.0,0.0,0.0,0.684898,0.0,0.0,0.666669
60,0.0,0.0,0.0,0.537976,0.0,0.0,0.71572
61,0.628711,0.0,0.57547,0.0,0.0,0.0,0.0
62,0.0,0.0,0.527374,0.621143,0.0,0.0,0.697075
63,0.0,0.0,0.848389,0.0,0.0,0.0,0.0
64,0.0,0.0,0.0,0.743581,0.0,0.0,0.515829
65,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,0.579314,0.0,0.0,0.0,0.0,0.0,0.0
67,0.0,0.0,0.0,0.0,0.0,0.0,0.750088
68,0.0,0.0,0.0,0.561792,0.0,0.642598,0.0
69,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,0.0,0.0,0.63819,0.0,0.0,0.0,0.745973
71,0.0,0.0,0.0,0.645933,0.0,0.0,0.0
72,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,0.0,0.0,0.768451,0.0,0.0,0.0,0.916796
74,0.0,0.0,0.0,0.831143,0.0,0.0,0.0
75,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,0.619776,0.0,0.0,0.650609,0.0,0.0,0.0
78,0.0,0.0,0.0,0.541416,0.0,0.0,0.0
79,0.0,0.0,0.0,0.584215,0.0,0.0,0.0
80,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,0.0,0.0,0.0,0.506326,0.0,0.0,0.884138
82,0.0,0.0,0.0,0.579563,0.0,0.0,0.887842
83,0.0,0.0,0.0,0.629741,0.0,0.876143,0.0
84,0.568516,0.0,0.53664,0.583815,0.0,0.0,0.0
85,0.0,0.0,0.0,0.555366,0.0,0.0,0.95575
86,0.0,0.0,0.0,0.0,0.0,0.0,0.665281
87,0.0,0.0,0.0,0.0,0.0,0.0,0.855458
88,0.0,0.0,0.0,0.0,0.0,0.0,0.856469
89,0.527275,0.0,0.0,0.0,0.0,0.0,0.691235
90,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,0.0,0.0,0.818926,0.0,0.0,0.0,0.868471
92,0.0,0.0,0.742992,0.0,0.0,0.0,0.0
93,0.0,0.0,0.0,0.0,0.0,0.0,0.70967
94,0.0,0.0,0.0,0.902156,0.0,0.0,0.873383
95,0.0,0.0,0.708508,0.0,0.0,0.0,0.0
96,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,0.0,0.0,0.0,0.547448,0.0,0.0,0.0
98,0.0,0.735807,0.504399,0.710488,0.0,0.0,0.0
