,0,1,2,3,4,5,6,7,8,9
61,2000,Mystikal,Shake Ya Ass,0.628711,0.0,0.57547,0.0,0.0,0.0,0.0
62,2000,SoulDecision,Faded,0.0,0.0,0.527374,0.621143,0.0,0.0,0.697075
63,2000,Debelah Morgan,Dance With Me,0.0,0.0,0.848389,0.0,0.0,0.0,0.0
64,2000,Son By Four,Purest Of Pain (A Puro Dolor),0.0,0.0,0.0,0.743581,0.0,0.0,0.515829
65,2000,Erykah Badu,Bag Lady,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,2000,Jay-Z,Big Pimpin',0.579314,0.0,0.0,0.0,0.0,0.0,0.0
67,2000,"Dr Dre, Eminem",Forgot About Dre,0.0,0.0,0.0,0.0,0.0,0.0,0.750088
68,2000,N Sync,This I Promise You,0.0,0.0,0.0,0.561792,0.0,0.642598,0.0
69,2000,Dr Dre,The Next Episode,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,2000,Ricky Martin,She Bangs,0.0,0.0,0.6381899999999999,0.0,0.0,0.0,0.745973
71,2000,Avant,Separated,0.0,0.0,0.0,0.645933,0.0,0.0,0.0
72,2000,Baha Men,Who Let The Dogs Out?,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,2000,Smash Mouth,Then The Morning Comes,0.0,0.0,0.768451,0.0,0.0,0.0,0.9167959999999999
74,2000,Carl Thomas,I Wish,0.0,0.0,0.0,0.8311430000000001,0.0,0.0,0.0
75,2000,Savage Garden,Crash,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,2000,The Backstreet Boys,Shape Of My Heart,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,2000,DMX,Party Up (Up In Here),0.619776,0.0,0.0,0.650609,0.0,0.0,0.0
78,2000,Kid Rock,Only God Knows Why,0.0,0.0,0.0,0.541416,0.0,0.0,0.0
79,2000,Madonna,American Pie,0.0,0.0,0.0,0.5842149999999999,0.0,0.0,0.0
80,2000,Alice DeeJay,Better Off Alone,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,2000,Filter,Take A Picture,0.0,0.0,0.0,0.506326,0.0,0.0,0.8841379999999999
82,2000,Whitney Houston,Could I Have This Kiss Forever,0.0,0.0,0.0,0.579563,0.0,0.0,0.887842
83,2000,Westlife,Swear It Again,0.0,0.0,0.0,0.629741,0.0,0.876143,0.0
84,2000,Jo Dee Messina,That's The Way,0.568516,0.0,0.53664,0.583815,0.0,0.0,0.0
85,2000,Vertical Horizon,You're A God,0.0,0.0,0.0,0.555366,0.0,0.0,0.95575
86,2000,Lil' Bow Wow,Bounce With Me,0.0,0.0,0.0,0.0,0.0,0.0,0.665281
87,2000,Chad Brock,Yes!,0.0,0.0,0.0,0.0,0.0,0.0,0.8554579999999999
88,2000,Jagged Edge,He Can't Love U,0.0,0.0,0.0,0.0,0.0,0.0,0.856469
89,2000,Da Brat,What'chu Like,0.527275,0.0,0.0,0.0,0.0,0.0,0.691235
90,2000,Ja Rule,Between Me,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,2000,George Strait,The Best Day,0.0,0.0,0.818926,0.0,0.0,0.0,0.8684709999999999
92,2000,Madison Avenue,Don't Call Me Baby,0.0,0.0,0.742992,0.0,0.0,0.0,0.0
93,2000,R Kelly,I Wish,0.0,0.0,0.0,0.0,0.0,0.0,0.70967
94,2000,Donell Jones,Where I Wanna Be,0.0,0.0,0.0,0.902156,0.0,0.0,0.873383
95,2000,Toby Keith,How Do You Like Me Now?!,0.0,0.0,0.708508,0.0,0.0,0.0,0.0
96,2000,Jessica Simpson,I Think I'm In Love With You,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,2000,The Goo Goo Dolls,Broadway,0.0,0.0,0.0,0.5474479999999999,0.0,0.0,0.0
98,2000,Britney Spears,From The Bottom Of My Broken Heart,0.0,0.735807,0.5043989999999999,0.710488,0.0,0.0,0.0
99,2000,Lee Ann Womack,I Hope You Dance,0.0,0.0,0.754717,0.0,0.0,0.0,0.958239
100,2001,Lifehouse,Hanging By A Moment,0.0,0.0,0.0,0.0,0.7166640000000001,0.0,0.0
101,2001,Train,Drops Of Jupiter (Tell Me),0.0,0.617229,0.612987,0.662258,0.0,0.0,0.0
102,2001,Alicia Keys,Fallin',0.0,0.0,0.0,0.632478,0.0,0.0,0.878659
103,2001,Eve,Let Me Blow Ya Mind,0.0,0.0,0.0,0.685146,0.0,0.0,0.0
104,2001,Dido,Thank You,0.0,0.0,0.0,0.500955,0.0,0.0,0.0
105,2001,Shaggy,Angel,0.0,0.0,0.0,0.0,0.0,0.6245310000000001,0.0
106,2001,Jennifer Lopez,I'm Real,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107,2001,Staind,It's Been Awhile,0.0,0.0,0.0,0.644699,0.0,0.0,0.907113
108,2001,Janet Jackson,All For You,0.0,0.0,0.0,0.0,0.0,0.857526,0.0
109,2001,Blu Cantrell,Hit 'em Up Style (Oops!),0.0,0.0,0.0,0.0,0.0,0.0,0.0
110,2001,Mary J Blige,Family Affair,0.0,0.0,0.803834,0.0,0.0,0.0,0.609779
111,2001,Shaggy'RikRok' Ducent,It Wasn't Me,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112,2001,Usher,U Remind Me,0.0,0.0,0.0,0.0,0.832317,0.0,0.9467059999999999
113,2001,Christina Aguilera,Lady Marmalade (Voulez-Vous Coucher Aver Moi Ce Soir?),0.0,0.0,0.0,0.0,0.0,0.0,0.0
114,2001,Nelly,Ride Wit Me,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115,2001,Uncle Kracker,Follow Me,0.0,0.0,0.0,0.0,0.753576,0.0,0.0
116,2001,Joe,Stutter,0.0,0.0,0.0,0.0,0.0,0.0,0.0
117,2001,Jagged Edge,Where The Party At,0.5404100000000001,0.0,0.0,0.6799649999999999,0.0,0.0,0.696709
118,2001,Incubus,Drive,0.0,0.8174859999999999,0.0,0.0,0.0,0.0,0.698156
119,2001,Lenny Kravitz,Again,0.0,0.0,0.0,0.660989,0.843583,0.0,0.792589
120,2001,Matchbox Twenty,If You're Gone,0.0,0.592437,0.0,0.0,0.0,0.0,0.9464969999999999
121,2001,Crazy Town,Butterfly,0.0,0.0,0.5818399999999999,0.0,0.0,0.0,0.50317
122,2001,Destiny's Child,Survivor,0.0,0.0,0.804869,0.0,0.0,0.0,0.0
123,2001,City High,What Would You Do?,0.549693,0.0,0.0,0.6859529999999999,0.0,0.0,0.0
124,2001,112,Peaches 'n' Cream,0.0,0.0,0.0,0.0,0.0,0.0,0.0
125,2001,Jennifer Lopez,Love Don't Cost A Thing,0.0,0.0,0.0,0.5590970000000001,0.0,0.0,0.0
126,2001,Nelly Furtado,I'm Like A Bird,0.0,0.0,0.0,0.0,0.6272220000000001,0.586701,0.0
127,2001,Missy 'Misdemeanor' Elliott,Get Ur Freak On,0.0,0.0,0.0,0.0,0.0,0.0,0.0
128,2001,OutKast,Ms Jackson,0.0,0.0,0.0,0.0,0.0,0.0,0.0
129,2001,Craig David,Fill Me In,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130,2001,"Ja Rule, Lil' Mo",Put It On Me,0.0,0.0,0.0,0.0,0.0,0.0,0.0
131,2001,Lee Ann Womack,I Hope You Dance,0.0,0.0,0.754717,0.0,0.0,0.0,0.958239
132,2001,Destiny's Child,Independent Woman,0.0,0.0,0.0,0.0,0.0,0.0,0.0
133,2001,Ginuwine,Differences,0.0,0.0,0.614147,0.0,0.0,0.0,0.0
134,2001,Destiny's Child,Bootylicious,0.0,0.0,0.5036109999999999,0.0,0.0,0.0,0.0
135,2001,Moby,South Side,0.0,0.0,0.568214,0.0,0.0,0.0,0.852741
136,2001,Madonna,Don't Tell Me,0.0,0.0,0.0,0.0,0.0,0.0,0.884581
137,2001,Nelly Furtado,Turn Off The Light,0.0,0.0,0.0,0.773223,0.0,0.0,0.0
138,2001,Janet Jackson,Someone To Call My Lover,0.0,0.0,0.551566,0.0,0.0,0.0,0.783985
139,2001,Faith Hill,The Way You Love Me,0.0,0.0,0.794312,0.0,0.0,0.0,0.926055
140,2001,O-Town,All Or Nothing,0.0,0.0,0.0,0.671018,0.713875,0.0,0.8786440000000001
141,2001,R Kelly-Z,Fiesta,0.0,0.0,0.0,0.0,0.0,0.0,0.0
142,2001,Enya,Only Time,0.0,0.0,0.786352,0.0,0.7567189999999999,0.524778,0.0
